country,apr2_tariff_pct,apr9_status,source_url,notes
Syria,41,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Taiwan,32,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Thailand,36,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Tunisia,28,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Turkey,10,unchanged,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,"Not mentioned in EO 14257 Annex I, so the universal 10% baseline applied from Apr 5, 2025. The Apr 9 suspension replaced Annex I rates with that same 10%, so this country's rate did not change."
Ukraine,10,unchanged,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,"Not mentioned in EO 14257 Annex I, so the universal 10% baseline applied from Apr 5, 2025. The Apr 9 suspension replaced Annex I rates with that same 10%, so this country's rate did not change."
United Arab Emirates,10,unchanged,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,"Not mentioned in EO 14257 Annex I, so the universal 10% baseline applied from Apr 5, 2025. The Apr 9 suspension replaced Annex I rates with that same 10%, so this country's rate did not change."
United Kingdom,10,unchanged,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,"Not mentioned in EO 14257 Annex I, so the universal 10% baseline applied from Apr 5, 2025. The Apr 9 suspension replaced Annex I rates with that same 10%, so this country's rate did not change."
Uruguay,10,unchanged,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,"Not mentioned in EO 14257 Annex I, so the universal 10% baseline applied from Apr 5, 2025. The Apr 9 suspension replaced Annex I rates with that same 10%, so this country's rate did not change."
Vanuatu,22,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Venezuela,15,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Vietnam,46,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Zambia,17,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Zimbabwe,18,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
